trade_date,factor,weight
2026-01-16,conv_premium_,-0.3251014459069994
2026-01-16,trend_prem_lag_simple_0.5_20_5_,-0.6748985540930006
2026-01-19,conv_premium_,-0.252512302116674
2026-01-19,trend_prem_lag_simple_0.5_20_5_,-0.747487697883326
2026-01-20,conv_premium_,-0.4151471546890901
2026-01-20,trend_prem_lag_simple_0.5_20_5_,-0.5848528453109099
2026-01-21,conv_premium_,-0.27776746441764366
2026-01-21,trend_prem_lag_simple_0.5_20_5_,-0.7222325355823563
2026-01-22,conv_premium_,-0.13583244367253205
2026-01-22,trend_prem_lag_simple_0.5_20_5_,-0.8641675563274679
2026-01-23,conv_premium_,0.13929702378232298
2026-01-23,trend_prem_lag_simple_0.5_20_5_,-0.8607029762176769
2026-01-26,conv_premium_,0.2939655969420375
2026-01-26,trend_prem_lag_simple_0.5_20_5_,-0.7060344030579625
2026-01-27,conv_premium_,0.3576129097126141
2026-01-27,trend_prem_lag_simple_0.5_20_5_,-0.6423870902873858
2026-01-28,conv_premium_,0.3708917352648896
2026-01-28,trend_prem_lag_simple_0.5_20_5_,-0.6291082647351104
